sample_id,escenario,vehicle_type,is_autonomous,gnss_speed_kmh,gnss_ramp_grade,lidar_obstacle_dist_m,lidar_visibility_index,op_perclos_score,turno_horas_acumuladas,op_steering_jerk_stddev,op_harsh_braking_count,ttc_raw_sec,effective_ttc_sec,collision_risk_label
DSTM-00016,A,KOMATSU_930E_AHS,1,35.84,10.85,33.18,0.561,0.02,11.3,0.15,0,2.93,2.38,1
DSTM-00017,C,CAT_797F_MANUAL,0,31.88,8.09,17.27,0.759,0.285,11.6,4.94,1,2.81,0.72,1
DSTM-00018,A,CAT_797F_MANUAL,0,48.6,14.98,43.53,0.519,0.041,1.0,1.44,3,2.91,0.91,1
DSTM-00019,D,KOMATSU_930E_AHS,1,27.64,9.98,11.23,0.412,0.043,13.8,0.15,0,1.86,1.2,1
DSTM-00020,C,CAT_797F_MANUAL,0,28.0,10.39,11.41,0.844,0.289,11.2,8.69,4,1.61,-0.58,1
DSTM-00021,D,CAT_797F_MANUAL,0,29.75,9.79,17.19,0.391,0.356,4.4,0.66,5,2.43,-0.09,1
DSTM-00022,B,PALA_PH_4100XPC,0,5.42,4.06,32.39,0.927,0.286,3.1,9.94,1,47.54,45.58,0
DSTM-00023,E,CAMIONETA_4x4,0,32.69,11.06,61.55,0.938,0.101,3.8,11.74,2,7.38,5.52,0
DSTM-00024,E,KOMATSU_930E_AHS,1,27.94,16.68,35.14,0.812,0.049,10.5,0.15,0,3.99,3.55,1
DSTM-00025,D,CAT_797F_MANUAL,0,35.05,8.9,69.14,0.387,0.126,1.9,3.35,0,7.02,5.02,0
DSTM-00026,A,CAT_797F_MANUAL,0,42.38,9.13,196.22,0.666,0.069,2.7,0.82,3,16.59,15.03,0
DSTM-00027,C,CAT_797F_MANUAL,0,24.98,11.34,14.32,0.799,0.309,8.4,4.67,5,2.09,-0.21,1
DSTM-00028,A,CAT_797F_MANUAL,0,37.12,8.48,25.0,0.591,0.081,9.2,5.28,0,1.84,0.16,1
DSTM-00029,A,CAMIONETA_4x4,0,47.82,12.34,28.3,0.75,0.063,3.3,0.93,0,1.93,0.11,1
DSTM-00030,D,CAT_797F_MANUAL,0,32.36,9.74,18.6,0.402,0.2,5.9,5.47,1,1.6,-0.52,1
DSTM-00031,D,KOMATSU_930E_AHS,1,30.35,6.96,18.25,0.372,0.022,3.9,0.15,0,2.35,1.67,1
DSTM-00032,E,KOMATSU_930E_AHS,1,39.02,4.71,17.07,0.792,0.049,19.7,0.15,0,2.08,1.63,1
DSTM-00033,B,CAT_797F_MANUAL,0,17.33,1.73,16.3,0.881,0.345,4.7,3.97,1,2.59,0.44,1
DSTM-00034,B,CAMIONETA_4x4,0,40.9,2.38,100.41,1.0,0.179,5.5,7.87,1,9.25,7.63,0
DSTM-00035,C,CAMIONETA_4x4,0,36.55,8.14,90.75,0.915,0.467,9.1,2.18,0,8.89,6.52,0
DSTM-00036,A,CAT_797F_MANUAL,0,52.76,7.55,181.23,0.705,0.157,8.2,1.21,1,12.43,10.65,0
DSTM-00037,A,KOMATSU_930E_AHS,1,38.43,10.59,41.69,0.595,0.02,15.4,0.15,0,4.06,3.5,1
DSTM-00038,C,CAT_797F_MANUAL,0,25.42,11.71,63.01,0.841,0.157,7.6,3.22,4,9.91,7.86,0
DSTM-00039,A,CAT_797F_MANUAL,0,52.12,9.02,18.91,0.691,0.159,4.2,3.8,0,1.11,-0.61,1
DSTM-00040,D,CAT_797F_MANUAL,0,35.09,8.07,153.06,0.351,0.097,2.1,1.7,1,14.32,12.5,0
DSTM-00041,B,CAMIONETA_4x4,0,37.02,2.75,10.55,0.829,0.023,4.0,4.57,0,0.72,-0.64,1
DSTM-00042,D,CAMIONETA_4x4,0,46.85,4.31,119.06,0.361,0.216,7.4,0.67,3,9.55,7.56,0
DSTM-00043,D,CAT_797F_MANUAL,0,34.71,11.45,136.32,0.45,0.291,2.8,3.03,1,12.93,10.44,0
DSTM-00044,B,PALA_PH_4100XPC,0,0.32,5.01,9.02,0.763,0.186,2.6,1.89,0,19.14,17.53,0
DSTM-00045,D,CAT_797F_MANUAL,0,32.57,5.19,20.35,0.253,0.345,8.3,4.08,4,2.29,-0.14,1
DSTM-00046,D,CAT_797F_MANUAL,0,39.18,10.11,55.65,0.426,0.11,5.3,5.46,1,4.57,2.61,1
DSTM-00047,B,PALA_PH_4100XPC,0,6.91,3.93,12.62,0.726,0.042,8.5,4.73,1,13.85,12.42,0
DSTM-00048,B,CAT_797F_MANUAL,0,20.54,6.06,10.58,0.88,0.134,7.4,5.49,0,1.7,0.07,1
DSTM-00049,D,CAT_797F_MANUAL,0,34.07,7.25,43.09,0.197,0.031,1.5,0.94,2,4.82,3.11,1
DSTM-00050,A,CAT_797F_MANUAL,0,48.72,6.01,28.44,0.685,0.037,4.8,4.84,2,2.07,0.54,1
DSTM-00051,A,KOMATSU_930E_AHS,1,39.56,9.81,57.78,0.647,0.038,5.4,0.15,0,5.22,4.66,0
DSTM-00052,A,KOMATSU_930E_AHS,1,35.68,9.35,86.07,0.768,0.069,15.0,0.15,0,8.7,8.25,0
DSTM-00053,D,CAMIONETA_4x4,0,43.28,5.36,47.82,0.548,0.177,10.1,6.42,1,3.93,2.05,1
DSTM-00054,D,CAT_797F_MANUAL,0,34.19,6.34,79.93,0.526,0.156,8.9,4.36,2,8.4,6.55,0
DSTM-00055,D,KOMATSU_930E_AHS,1,31.21,6.46,55.55,0.372,0.02,10.2,0.15,0,6.03,5.38,0
DSTM-00056,D,CAMIONETA_4x4,0,28.3,9.44,54.44,0.497,0.218,3.1,4.7,0,7.3,5.17,0
DSTM-00057,C,CAT_797F_MANUAL,0,32.35,6.74,8.18,0.947,0.213,11.6,4.52,3,1.08,-0.57,1
DSTM-00058,C,CAMIONETA_4x4,0,52.04,11.06,147.69,0.87,0.13,10.6,6.02,3,11.0,9.16,0
DSTM-00059,A,CAT_797F_MANUAL,0,43.13,10.36,26.76,0.753,0.204,1.8,4.48,2,2.02,-0.04,1
DSTM-00060,A,CAT_797F_MANUAL,0,29.11,12.32,200.0,0.844,0.088,1.4,4.7,1,23.21,21.26,0
DSTM-00061,D,CAMIONETA_4x4,0,47.12,3.53,54.93,0.318,0.06,5.9,4.51,0,4.94,3.29,1
DSTM-00062,C,CAT_797F_MANUAL,0,29.88,8.63,11.29,0.998,0.325,10.9,4.45,3,1.48,-0.57,1
DSTM-00063,C,KOMATSU_930E_AHS,1,27.58,7.24,150.92,0.866,0.054,12.8,0.15,0,20.04,19.65,0
DSTM-00064,D,KOMATSU_930E_AHS,1,30.52,7.45,58.47,0.385,0.02,16.9,0.15,0,6.67,6.0,0
DSTM-00065,C,KOMATSU_930E_AHS,1,20.76,11.69,12.08,0.814,0.06,16.6,0.15,0,2.28,1.82,1
DSTM-00066,C,CAT_797F_MANUAL,0,31.8,7.06,42.13,0.802,0.58,11.4,3.3,1,4.71,1.94,1
DSTM-00067,C,CAT_797F_MANUAL,0,34.84,11.46,74.32,1.0,0.521,12.0,0.91,1,7.68,4.94,0
DSTM-00068,B,PALA_PH_4100XPC,0,4.3,3.98,13.01,0.842,0.423,8.1,8.39,1,17.17,14.76,0
DSTM-00069,A,CAT_797F_MANUAL,0,47.84,9.89,42.48,0.603,0.115,8.5,4.81,0,4.03,2.14,1
DSTM-00070,B,PALA_PH_4100XPC,0,3.0,1.2,2.0,0.839,0.081,7.2,3.72,0,4.73,3.13,1
DSTM-00071,A,KOMATSU_930E_AHS,1,25.62,15.8,52.3,0.583,0.079,20.1,0.15,0,8.22,7.65,0
DSTM-00072,B,CAT_797F_MANUAL,0,15.99,2.51,23.85,0.976,0.149,11.1,14.08,0,7.1,5.59,0
DSTM-00073,E,KOMATSU_930E_AHS,1,33.2,7.51,40.42,0.961,0.02,7.4,0.15,0,3.74,3.37,1
DSTM-00074,A,CAT_797F_MANUAL,0,41.68,14.53,44.05,0.757,0.033,1.5,6.35,1,3.77,1.89,1
DSTM-00075,A,CAT_797F_MANUAL,0,44.76,7.67,59.02,0.703,0.02,9.6,1.24,0,5.11,3.62,1
DSTM-00076,B,PALA_PH_4100XPC,0,0.81,3.39,18.9,0.87,0.208,6.7,4.19,1,41.2,39.46,0
DSTM-00077,B,CAT_797F_MANUAL,0,4.85,4.36,16.21,0.856,0.13,5.0,1.54,2,5.3,3.69,1
DSTM-00078,D,KOMATSU_930E_AHS,1,23.09,7.12,20.22,0.394,0.089,13.2,0.15,0,4.04,3.39,1
DSTM-00079,C,KOMATSU_930E_AHS,1,31.71,10.83,35.64,0.786,0.043,9.4,0.15,0,4.81,4.34,0
DSTM-00080,D,CAMIONETA_4x4,0,44.58,10.55,30.56,0.566,0.07,9.6,6.89,1,2.67,0.81,1
DSTM-00081,D,CAT_797F_MANUAL,0,32.63,6.47,110.17,0.418,0.15,8.4,3.68,0,11.27,9.37,0
DSTM-00082,B,CAT_797F_MANUAL,0,13.97,2.47,71.02,1.0,0.215,9.8,9.28,0,17.91,16.11,0
DSTM-00083,D,CAMIONETA_4x4,0,38.68,10.22,80.57,0.292,0.13,4.0,9.02,1,7.59,5.54,0
DSTM-00084,A,KOMATSU_930E_AHS,1,33.74,10.83,9.86,0.613,0.098,12.3,0.15,0,1.15,0.61,1
DSTM-00085,A,CAT_797F_MANUAL,0,46.45,13.15,16.18,0.575,0.169,10.3,3.54,0,1.2,-0.97,1
DSTM-00086,A,CAT_797F_MANUAL,0,55.37,15.44,82.08,0.627,0.028,1.1,4.31,2,5.67,3.64,1
DSTM-00087,D,CAT_797F_MANUAL,0,26.98,10.43,7.2,0.407,0.046,3.5,0.43,0,0.92,-0.87,1
DSTM-00088,C,CAT_797F_MANUAL,0,51.26,2.74,140.15,0.88,0.195,10.0,5.84,4,10.29,8.42,0
DSTM-00089,A,CAT_797F_MANUAL,0,48.55,7.44,113.14,0.621,0.264,2.4,8.23,0,8.43,6.31,0
DSTM-00090,C,CAT_797F_MANUAL,0,27.84,5.7,16.54,0.797,0.473,10.4,2.69,1,1.76,-0.81,1
DSTM-00091,A,CAMIONETA_4x4,0,49.61,8.91,57.72,0.596,0.15,7.8,3.02,4,3.77,1.9,1
DSTM-00092,D,CAT_797F_MANUAL,0,33.74,5.79,11.8,0.211,0.163,4.6,6.65,2,1.1,-0.91,1
DSTM-00093,B,CAT_797F_MANUAL,0,16.69,1.51,10.96,0.827,0.166,4.8,8.17,0,1.57,-0.08,1
DSTM-00094,B,CAT_797F_MANUAL,0,13.75,4.88,19.73,0.915,0.467,9.8,3.67,1,4.37,2.01,1
DSTM-00095,B,CAT_797F_MANUAL,0,9.57,2.91,13.35,0.961,0.086,2.5,1.18,0,4.22,2.77,1
DSTM-00096,C,CAT_797F_MANUAL,0,26.55,9.03,40.03,0.835,0.348,10.6,1.23,1,5.96,3.76,1
DSTM-00097,B,PALA_PH_4100XPC,0,5.5,3.43,10.57,0.876,0.063,6.1,3.98,1,13.9,12.4,1
DSTM-00098,A,CAT_797F_MANUAL,0,43.48,12.98,40.48,0.714,0.113,2.0,5.82,2,2.71,0.85,1
DSTM-00099,A,CAT_797F_MANUAL,0,41.76,14.38,181.9,0.55,0.236,1.6,1.89,1,16.95,14.47,0
DSTM-00100,E,CAMIONETA_4x4,0,36.6,7.13,23.51,0.774,0.249,3.2,4.8,0,2.05,0.15,1
DSTM-00101,E,CAMIONETA_4x4,0,38.27,9.59,19.75,0.955,0.281,10.4,8.82,2,1.87,-0.09,1
DSTM-00102,D,KOMATSU_930E_AHS,1,25.11,8.15,33.79,0.551,0.055,5.3,0.15,0,5.3,4.73,0
DSTM-00103,B,CAT_797F_MANUAL,0,15.72,2.24,48.79,0.721,0.039,2.6,1.17,0,12.55,11.07,0
DSTM-00104,E,CAMIONETA_4x4,0,41.94,6.93,50.15,0.833,0.171,2.2,0.47,2,4.86,3.1,1
DSTM-00105,D,CAT_797F_MANUAL,0,36.13,6.32,68.04,0.374,0.02,2.6,5.86,3,7.04,5.43,0
DSTM-00106,D,CAT_797F_MANUAL,0,37.73,4.32,35.13,0.45,0.111,3.9,1.62,1,3.28,1.54,1
DSTM-00107,B,PALA_PH_4100XPC,0,2.27,3.56,61.1,0.836,0.101,10.3,1.78,1,109.3,107.82,0
DSTM-00108,B,CAT_797F_MANUAL,0,13.0,4.07,6.77,0.912,0.092,2.8,3.07,0,2.82,1.35,1
DSTM-00109,A,CAMIONETA_4x4,0,44.38,9.09,79.73,0.653,0.123,2.6,0.89,0,6.64,4.81,0
DSTM-00110,E,KOMATSU_930E_AHS,1,29.0,7.5,16.24,0.874,0.02,23.1,0.15,0,1.46,1.07,1
DSTM-00111,C,CAT_797F_MANUAL,0,29.28,12.93,3.31,0.92,0.471,9.5,1.31,3,0.88,-1.78,1
DSTM-00112,A,KOMATSU_930E_AHS,1,33.45,9.81,40.7,0.677,0.046,11.5,0.15,0,4.14,3.62,1
DSTM-00113,B,CAT_797F_MANUAL,0,14.36,4.05,23.89,0.958,0.454,10.0,7.62,3,5.53,3.16,1
DSTM-00114,C,CAT_797F_MANUAL,0,27.81,11.73,94.01,0.909,0.136,10.5,1.09,3,14.18,12.35,0
DSTM-00115,A,KOMATSU_930E_AHS,1,33.63,8.99,38.08,0.833,0.02,6.4,0.15,0,4.43,3.98,1
DSTM-00116,E,CAMIONETA_4x4,0,53.25,4.1,38.99,0.888,0.039,9.3,4.36,1,2.53,1.19,1
DSTM-00117,D,CAT_797F_MANUAL,0,22.35,10.67,199.91,0.511,0.12,3.7,2.18,0,27.19,25.21,0
DSTM-00118,D,KOMATSU_930E_AHS,1,30.67,7.94,22.43,0.315,0.046,14.3,0.15,0,3.01,2.33,1
DSTM-00119,B,CAMIONETA_4x4,0,29.7,4.97,15.01,0.992,0.111,7.0,3.92,0,1.71,0.28,1
DSTM-00120,C,KOMATSU_930E_AHS,1,30.88,6.87,32.0,0.878,0.02,5.4,0.15,0,3.25,2.85,1
DSTM-00121,C,CAT_797F_MANUAL,0,38.12,10.18,11.32,0.798,0.329,8.7,10.74,0,0.72,-1.61,1
DSTM-00122,C,CAT_797F_MANUAL,0,34.23,13.24,119.09,0.871,0.349,9.8,3.5,0,11.95,9.37,0
DSTM-00123,A,CAT_797F_MANUAL,0,35.22,10.83,111.47,0.642,0.035,10.0,3.89,1,12.38,10.66,0
DSTM-00124,B,CAT_797F_MANUAL,0,13.93,1.93,7.61,0.898,0.107,8.3,2.12,1,2.85,1.4,1
DSTM-00125,A,CAT_797F_MANUAL,0,44.62,9.74,150.05,0.812,0.037,6.0,2.71,3,11.75,10.19,0
DSTM-00126,C,KOMATSU_930E_AHS,1,30.11,4.94,9.26,0.84,0.043,2.7,0.15,0,1.1,0.66,1
DSTM-00127,B,CAT_797F_MANUAL,0,11.83,5.75,27.88,0.863,0.118,2.1,3.67,0,7.31,5.56,0
DSTM-00128,A,CAT_797F_MANUAL,0,51.32,13.44,20.3,0.656,0.274,3.9,3.35,0,1.49,-0.89,1
DSTM-00129,A,CAMIONETA_4x4,0,48.81,11.98,37.74,0.74,0.06,9.3,3.42,3,2.7,0.84,1
DSTM-00130,C,KOMATSU_930E_AHS,1,20.86,6.78,32.44,0.849,0.038,2.2,0.15,0,5.92,5.46,0
DSTM-00131,A,CAT_797F_MANUAL,0,42.96,8.56,180.11,0.835,0.169,7.3,1.68,1,15.96,14.13,0
DSTM-00132,E,CAMIONETA_4x4,0,35.42,3.72,16.35,0.918,0.066,4.9,5.32,2,1.37,-0.17,1
DSTM-00133,C,CAT_797F_MANUAL,0,33.06,7.13,18.71,0.92,0.408,9.1,5.09,2,2.31,0.06,1
DSTM-00134,B,CAT_797F_MANUAL,0,14.69,4.89,41.21,0.832,0.256,3.5,8.73,1,9.68,7.72,0
DSTM-00135,C,CAT_797F_MANUAL,0,25.72,10.54,30.02,0.971,0.258,10.8,1.45,2,5.47,3.45,1
DSTM-00136,A,CAT_797F_MANUAL,0,42.79,11.15,73.92,0.589,0.194,6.7,7.55,0,6.11,3.99,1
DSTM-00137,E,CAMIONETA_4x4,0,35.5,5.3,200.0,0.791,0.318,2.0,0.57,2,20.34,18.3,0
DSTM-00138,C,CAT_797F_MANUAL,0,35.03,7.59,79.79,0.853,0.336,8.6,6.21,3,7.64,5.49,0
DSTM-00139,D,KOMATSU_930E_AHS,1,33.46,10.91,15.39,0.365,0.062,14.2,0.15,0,2.2,1.52,1
DSTM-00140,A,CAT_797F_MANUAL,0,38.38,9.63,44.09,0.599,0.129,5.0,9.07,2,4.26,2.49,1
DSTM-00141,C,KOMATSU_930E_AHS,1,31.06,6.11,21.61,0.793,0.059,17.3,0.15,0,3.58,3.15,1
DSTM-00142,C,CAT_797F_MANUAL,0,33.51,9.15,32.71,0.819,0.247,9.7,3.59,3,4.13,2.06,1
DSTM-00143,E,CAMIONETA_4x4,0,38.32,7.4,40.6,0.778,0.12,2.3,5.54,2,4.71,3.08,1
DSTM-00144,C,CAT_797F_MANUAL,0,28.85,7.88,18.42,0.886,0.706,11.9,3.57,0,2.22,-0.84,1
DSTM-00145,C,CAT_797F_MANUAL,0,27.56,7.67,43.11,1.0,0.161,8.5,2.29,3,5.73,4.1,0
DSTM-00146,B,CAT_797F_MANUAL,0,10.64,0.71,21.27,0.845,0.302,1.9,5.46,1,5.71,3.7,1
DSTM-00147,B,CAT_797F_MANUAL,0,13.27,4.55,12.45,0.865,0.049,1.3,2.23,0,5.05,3.66,1
DSTM-00148,C,CAT_797F_MANUAL,0,26.96,9.11,107.99,0.982,0.208,10.3,8.58,0,13.35,11.64,0
DSTM-00149,B,CAT_797F_MANUAL,0,17.7,0.0,37.44,0.718,0.299,8.3,0.92,4,8.03,6.05,0
DSTM-00150,A,KOMATSU_930E_AHS,1,41.89,8.05,96.13,0.81,0.029,21.3,0.15,0,8.51,8.05,0
DSTM-00151,D,CAT_797F_MANUAL,0,35.55,7.52,50.95,0.438,0.099,2.8,2.91,1,5.41,3.66,1
DSTM-00152,E,KOMATSU_930E_AHS,1,36.33,10.65,57.21,0.907,0.09,17.1,0.15,0,5.54,5.14,0
DSTM-00153,A,CAMIONETA_4x4,0,46.41,13.41,43.34,0.786,0.02,9.1,1.0,4,3.68,1.85,1
DSTM-00154,C,CAT_797F_MANUAL,0,23.89,11.44,13.0,0.948,0.15,10.1,2.39,2,2.37,0.34,1
DSTM-00155,A,CAT_797F_MANUAL,0,37.03,11.85,43.29,0.619,0.158,3.1,2.09,4,3.91,2.08,1
DSTM-00156,D,CAT_797F_MANUAL,0,29.23,9.14,10.86,0.305,0.13,9.4,13.06,2,0.71,-1.36,1
DSTM-00157,B,PALA_PH_4100XPC,0,2.82,2.76,25.95,0.939,0.143,6.5,2.12,0,24.29,22.59,0
DSTM-00158,D,KOMATSU_930E_AHS,1,24.55,10.33,38.62,0.228,0.029,1.1,0.15,0,6.4,5.65,0
DSTM-00159,D,CAT_797F_MANUAL,0,18.15,0.83,27.17,0.362,0.402,1.0,1.53,0,5.13,2.59,1
DSTM-00160,D,CAT_797F_MANUAL,0,31.59,5.13,67.52,0.586,0.139,3.4,0.77,1,7.76,6.03,0
DSTM-00161,A,CAT_797F_MANUAL,0,39.38,7.38,10.31,0.658,0.085,2.5,5.3,0,0.97,-0.62,1
DSTM-00162,E,KOMATSU_930E_AHS,1,31.43,5.96,53.32,0.922,0.02,17.4,0.15,0,7.54,7.16,0
DSTM-00163,A,CAMIONETA_4x4,0,38.91,11.26,164.52,0.652,0.101,11.4,7.95,3,14.87,12.75,0
DSTM-00164,A,CAT_797F_MANUAL,0,45.81,14.44,38.76,0.591,0.293,9.1,2.47,2,3.83,1.25,1
DSTM-00165,C,CAT_797F_MANUAL,0,39.13,7.87,74.68,0.727,0.253,9.0,3.72,2,7.36,5.33,0
DSTM-00166,B,PALA_PH_4100XPC,0,5.6,3.41,21.18,0.797,0.109,10.1,5.15,1,19.3,17.81,0
DSTM-00167,D,CAMIONETA_4x4,0,46.63,10.34,69.59,0.28,0.103,3.4,9.36,3,5.58,3.51,1
DSTM-00168,D,CAMIONETA_4x4,0,54.24,11.26,70.08,0.473,0.033,8.8,1.83,2,4.76,2.95,1
DSTM-00169,B,PALA_PH_4100XPC,0,5.01,2.18,51.51,0.787,0.14,8.7,2.48,0,50.36,48.67,0
DSTM-00170,E,KOMATSU_930E_AHS,1,25.19,5.72,76.33,0.815,0.035,10.8,0.15,0,12.45,12.01,0
DSTM-00171,B,PALA_PH_4100XPC,0,4.01,1.64,13.87,0.743,0.049,3.8,1.67,2,25.28,23.89,0
DSTM-00172,C,CAMIONETA_4x4,0,48.79,7.09,41.37,0.922,0.203,9.9,4.8,3,3.04,1.22,1
DSTM-00173,B,PALA_PH_4100XPC,0,4.71,2.52,38.74,0.927,0.2,6.5,3.77,0,46.96,45.12,0
DSTM-00174,E,KOMATSU_930E_AHS,1,32.52,10.22,64.71,0.855,0.083,5.7,0.15,0,7.42,6.98,0
DSTM-00175,A,CAT_797F_MANUAL,0,30.74,14.61,59.2,0.704,0.157,4.0,8.87,3,5.95,3.69,1
DSTM-00176,A,KOMATSU_930E_AHS,1,42.92,9.02,198.73,0.774,0.066,14.9,0.15,0,18.07,17.62,0
DSTM-00177,B,CAT_797F_MANUAL,0,13.02,2.63,48.6,0.89,0.219,1.2,1.8,1,13.03,11.33,0
DSTM-00178,E,CAMIONETA_4x4,0,25.54,10.02,43.5,0.803,0.245,7.9,7.82,1,5.92,3.76,1
DSTM-00179,E,KOMATSU_930E_AHS,1,27.62,9.03,55.89,0.924,0.045,3.2,0.15,0,7.26,6.88,0
DSTM-00180,D,CAT_797F_MANUAL,0,35.52,10.89,14.77,0.503,0.13,1.8,4.94,3,1.7,-0.4,1
DSTM-00181,E,KOMATSU_930E_AHS,1,23.93,5.87,31.62,0.759,0.071,9.8,0.15,0,5.84,5.38,0
DSTM-00182,E,KOMATSU_930E_AHS,1,24.95,7.87,71.37,0.738,0.02,4.6,0.15,0,9.99,9.55,0
DSTM-00183,C,CAMIONETA_4x4,0,38.58,5.12,36.98,0.755,0.443,9.1,7.49,1,3.26,0.84,1
DSTM-00184,B,CAT_797F_MANUAL,0,13.42,5.63,9.09,0.845,0.216,10.5,2.34,1,3.43,1.65,1
DSTM-00185,D,CAT_797F_MANUAL,0,33.15,4.24,49.22,0.332,0.101,7.0,4.35,1,5.28,3.39,1
DSTM-00186,D,CAT_797F_MANUAL,0,36.07,7.0,112.75,0.527,0.184,9.2,2.05,1,11.81,9.98,0
DSTM-00187,B,CAT_797F_MANUAL,0,19.42,3.11,12.77,0.751,0.122,5.0,2.08,0,1.79,0.05,1
DSTM-00188,A,KOMATSU_930E_AHS,1,31.46,9.34,6.01,0.633,0.02,6.6,0.15,0,1.03,0.49,1
DSTM-00189,D,CAT_797F_MANUAL,0,25.29,3.99,101.18,0.568,0.099,4.4,2.65,0,13.7,12.02,0
DSTM-00190,B,CAMIONETA_4x4,0,42.59,2.0,7.69,0.906,0.284,9.8,10.06,1,0.51,-1.38,1
DSTM-00191,E,KOMATSU_930E_AHS,1,26.02,8.97,52.57,0.877,0.02,4.9,0.15,0,7.25,6.87,0
DSTM-00192,A,CAMIONETA_4x4,0,52.48,12.51,52.96,0.867,0.108,5.6,8.93,2,3.58,1.76,1
DSTM-00193,A,KOMATSU_930E_AHS,1,41.16,8.9,12.5,0.793,0.07,15.6,0.15,0,0.81,0.33,1
DSTM-00194,D,CAT_797F_MANUAL,0,31.3,9.82,18.53,0.298,0.244,8.7,2.08,3,2.29,-0.07,1
DSTM-00195,A,CAMIONETA_4x4,0,54.73,9.68,84.92,0.594,0.113,4.7,1.46,1,5.6,3.76,1
DSTM-00196,A,CAT_797F_MANUAL,0,38.84,8.95,77.66,0.823,0.121,3.8,2.94,0,6.5,4.85,0
DSTM-00197,C,CAMIONETA_4x4,0,32.57,7.53,86.66,0.807,0.371,10.8,3.14,5,9.93,7.77,0
DSTM-00198,E,CAMIONETA_4x4,0,45.18,8.41,99.81,0.911,0.13,1.2,7.68,1,8.0,6.39,0
DSTM-00199,A,CAT_797F_MANUAL,0,36.7,11.65,80.55,0.661,0.109,1.5,4.89,2,7.97,6.02,0
DSTM-00200,B,CAT_797F_MANUAL,0,13.54,3.57,18.22,0.951,0.203,2.2,3.2,1,6.1,4.38,0
DSTM-00201,D,CAT_797F_MANUAL,0,35.93,10.27,5.11,0.392,0.049,2.3,0.83,1,1.02,-0.9,1
DSTM-00202,E,CAMIONETA_4x4,0,35.42,10.84,78.75,0.936,0.177,10.5,1.67,1,8.13,6.31,0
DSTM-00203,C,KOMATSU_930E_AHS,1,30.4,11.17,27.32,0.78,0.062,3.9,0.15,0,3.46,3.03,1
DSTM-00204,A,CAMIONETA_4x4,0,37.77,6.23,16.72,0.849,0.047,4.1,1.31,3,2.0,0.55,1
DSTM-00205,A,CAT_797F_MANUAL,0,40.65,6.7,93.91,0.557,0.195,8.0,2.46,1,8.54,6.7,0
DSTM-00206,A,KOMATSU_930E_AHS,1,41.59,10.91,109.35,0.785,0.069,3.0,0.15,0,9.17,8.71,0
DSTM-00207,A,CAT_797F_MANUAL,0,37.24,12.71,55.17,0.82,0.202,10.3,7.48,0,5.24,3.19,1
DSTM-00208,D,CAT_797F_MANUAL,0,26.67,10.33,44.11,0.2,0.193,3.7,4.2,3,6.37,4.12,0
DSTM-00209,A,CAT_797F_MANUAL,0,40.24,10.78,155.4,0.784,0.202,11.4,5.07,0,14.51,12.51,0
DSTM-00210,C,CAT_797F_MANUAL,0,31.21,10.76,33.84,0.889,0.02,9.6,2.47,7,4.34,2.74,1
